S.No,Text,x0,y0,x1,y1,Page_No,height,width 
2813,135 - 145,207,220,252,234,7,14,44
2814,*Therapeutic Range,182,207,276,221,7,14,93
2815,175 - 781,233,193,277,208,7,14,44
2816,>17,195,193,216,208,7,14,20
2817,*Therapeutic Range,300,207,397,221,7,14,96
2818,10 – 75,369,193,404,208,7,14,35
2819,>17,309,193,327,208,7,14,17
2820,Age,195,129,216,143,7,14,21
2821,>16,195,116,216,130,7,14,20
2822,Normal,238,129,272,143,7,14,34
2823,8 - 19.9,237,116,273,130,7,14,35
2824,Age,308,129,327,143,7,14,18
2825,>16,309,116,327,130,7,14,17
2826,Normal,369,129,403,143,7,14,34
2827,8 - 19.9,369,116,404,130,7,14,35
2828,,57,724,179,737,7,13,122
2829,,179,724,229,737,7,13,50
2830,,229,724,303,737,7,13,73
2831,,303,724,355,737,7,13,52
2832,,355,724,418,737,7,13,62
2833,,418,724,486,737,7,13,67
2834,,57,711,179,724,7,13,122
2835,,179,711,229,724,7,13,50
2836,,229,711,303,724,7,13,73
2837,,303,711,355,724,7,13,52
2838,,355,711,418,724,7,13,62
2839,,418,711,486,724,7,13,67
2840,,57,698,179,711,7,13,122
2841,,179,698,229,711,7,13,50
2842,,229,698,303,711,7,13,73
2843,,303,698,355,711,7,13,52
2844,,355,698,418,711,7,13,62
2845,,418,698,486,711,7,13,67
2846,,57,684,179,698,7,13,122
2847,,179,684,229,698,7,13,50
2848,,229,684,303,698,7,13,73
2849,,303,684,355,698,7,13,52
2850,,355,684,418,698,7,13,62
2851,,418,684,486,698,7,13,67
2852,,57,671,179,684,7,13,122
2853,,179,671,229,684,7,13,50
2854,,229,671,303,684,7,13,73
2855,,303,671,355,684,7,13,52
2856,,355,671,418,684,7,13,62
2857,,418,671,486,684,7,13,67
2858,,57,658,179,671,7,13,122
2859,,179,658,303,671,7,13,124
2860,,303,658,418,671,7,13,114
2861,,418,658,486,671,7,13,67
2862,,57,633,179,658,7,24,122
2863,,179,633,303,658,7,24,124
2864,,303,633,418,658,7,24,114
2865,,418,633,486,658,7,24,67
2866,,418,633,486,658,7,24,67
2867,pg/mL,437,640,469,654,7,14,31
2868,,57,620,179,633,7,13,122
2869,,179,620,229,633,7,13,50
2870,,229,620,303,633,7,13,73
2871,,303,620,355,633,7,13,52
2872,,355,620,418,633,7,13,62
2873,,418,620,486,633,7,13,67
2874,,57,607,179,620,7,13,122
2875,,179,607,229,620,7,13,50
2876,,229,607,303,620,7,13,73
2877,,303,607,355,620,7,13,52
2878,,355,607,418,620,7,13,62
2879,,418,607,486,620,7,13,67
2880,,57,594,179,607,7,13,122
2881,,179,594,229,607,7,13,50
2882,,229,594,303,607,7,13,73
2883,,303,594,355,607,7,13,52
2884,,355,594,418,607,7,13,62
2885,,418,594,486,607,7,13,67
2886,,57,581,179,594,7,13,122
2887,,179,581,303,594,7,13,124
2888,,303,581,418,594,7,13,114
2889,,418,581,486,594,7,13,67
2890,,57,568,179,581,7,13,122
2891,,179,568,229,581,7,13,50
2892,,229,568,303,581,7,13,73
2893,,303,568,355,581,7,13,52
2894,,355,568,418,581,7,13,62
2895,,418,568,486,581,7,13,67
2896,,57,555,179,568,7,13,122
2897,,179,555,229,568,7,13,50
2898,,229,555,303,568,7,13,73
2899,,303,555,355,568,7,13,52
2900,,355,555,418,568,7,13,62
2901,,418,555,486,568,7,13,67
2902,,57,542,179,555,7,13,122
2903,,179,542,229,555,7,13,50
2904,,229,542,303,555,7,13,73
2905,,303,542,355,555,7,13,52
2906,,355,542,418,555,7,13,62
2907,,418,542,486,555,7,13,67
2908,,57,528,179,542,7,13,122
2909,,179,528,229,542,7,13,50
2910,,229,528,303,542,7,13,73
2911,,303,528,355,542,7,13,52
2912,,355,528,418,542,7,13,62
2913,,418,528,486,542,7,13,67
2914,,57,515,179,528,7,13,122
2915,,179,515,229,528,7,13,50
2916,,229,515,303,528,7,13,73
2917,,303,515,355,528,7,13,52
2918,,355,515,418,528,7,13,62
2919,,418,515,486,528,7,13,67
2920,,57,502,179,515,7,13,122
2921,,179,502,229,515,7,13,50
2922,,229,502,303,515,7,13,73
2923,,303,502,355,515,7,13,52
2924,,355,502,418,515,7,13,62
2925,,418,502,486,515,7,13,67
2926,,57,489,179,502,7,13,122
2927,,179,489,229,502,7,13,50
2928,,229,489,303,502,7,13,73
2929,,303,489,355,502,7,13,52
2930,,355,489,418,502,7,13,62
2931,,418,489,486,502,7,13,67
2932,,57,476,179,489,7,13,122
2933,,179,476,229,489,7,13,50
2934,,229,476,303,489,7,13,73
2935,,303,476,355,489,7,13,52
2936,,355,476,418,489,7,13,62
2937,,418,476,486,489,7,13,67
2938,,57,463,179,476,7,13,122
2939,,179,463,229,476,7,13,50
2940,,229,463,303,476,7,13,73
2941,,303,463,355,476,7,13,52
2942,,355,463,418,476,7,13,62
2943,,418,463,486,476,7,13,67
2944,,57,450,179,463,7,13,122
2945,,179,450,303,463,7,13,124
2946,,303,450,418,463,7,13,114
2947,,418,450,486,463,7,13,67
2948,,57,437,179,450,7,13,122
2949,,179,437,229,450,7,13,50
2950,,229,437,303,450,7,13,73
2951,,303,437,355,450,7,13,52
2952,,355,437,418,450,7,13,62
2953,,418,437,486,450,7,13,67
2954,,57,412,179,437,7,24,122
2955,,179,412,229,437,7,24,50
2956,,229,412,303,437,7,24,73
2957,,303,412,355,437,7,24,52
2958,,355,412,418,437,7,24,62
2959,,418,412,486,437,7,24,67
2960,,57,399,179,412,7,13,122
2961,,179,399,229,412,7,13,50
2962,,229,399,303,412,7,13,73
2963,,303,399,418,412,7,13,114
2964,,418,399,486,412,7,13,67
2965,,57,385,179,399,7,13,122
2966,,179,385,229,399,7,13,50
2967,,229,385,303,399,7,13,73
2968,,303,385,418,399,7,13,114
2969,,418,385,486,399,7,13,67
2970,,57,372,179,385,7,13,122
2971,,179,372,229,385,7,13,50
2972,,229,372,303,385,7,13,73
2973,,303,372,418,385,7,13,114
2974,,418,372,486,385,7,13,67
2975,,57,359,179,372,7,13,122
2976,,179,359,229,372,7,13,50
2977,,229,359,303,372,7,13,73
2978,,303,359,418,372,7,13,114
2979,,418,359,486,372,7,13,67
2980,,57,346,179,359,7,13,122
2981,,179,346,229,359,7,13,50
2982,,229,346,303,359,7,13,73
2983,,303,346,418,359,7,13,114
2984,,418,346,486,359,7,13,67
2985,,57,333,179,346,7,13,122
2986,,179,333,229,346,7,13,50
2987,,229,333,303,346,7,13,73
2988,,303,333,418,346,7,13,114
2989,,418,333,486,346,7,13,67
2990,,57,285,179,333,7,48,122
2991,,57,285,179,333,7,48,122
2992,PSA (Free),57,303,114,318,7,14,56
2993,,179,285,486,333,7,48,306
2994,,57,271,179,285,7,13,122
2995,,179,271,282,285,7,13,102
2996,,282,271,418,285,7,13,135
2997,,418,271,486,285,7,13,67
2998,,57,258,179,271,7,13,122
2999,,179,258,282,271,7,13,102
3000,,282,258,418,271,7,13,135
3001,,418,258,486,271,7,13,67
3002,,57,245,179,258,7,13,122
3003,,179,245,282,258,7,13,102
3004,,282,245,418,258,7,13,135
3005,,418,245,486,258,7,13,67
3006,,57,232,179,245,7,13,122
3007,,179,232,282,245,7,13,102
3008,,282,232,418,245,7,13,135
3009,,418,232,486,245,7,13,67
3010,,57,219,179,232,7,13,122
3011,,179,219,282,232,7,13,102
3012,,282,219,418,232,7,13,135
3013,,418,219,486,232,7,13,67
3014,,57,206,179,219,7,13,122
3015,,179,206,282,219,7,13,102
3016,,282,206,418,219,7,13,135
3017,,418,206,486,219,7,13,67
3018,,57,193,179,206,7,13,122
3019,,179,193,229,206,7,13,50
3020,,229,193,282,206,7,13,52
3021,,282,193,355,206,7,13,73
3022,,355,193,418,206,7,13,62
3023,,418,193,486,206,7,13,67
3024,,57,168,179,193,7,24,122
3025,,179,168,282,193,7,24,102
3026,,282,168,418,193,7,24,135
3027,,418,168,486,193,7,24,67
3028,,57,155,179,168,7,13,122
3029,,179,155,282,168,7,13,102
3030,,282,155,418,168,7,13,135
3031,,418,155,486,168,7,13,67
3032,,57,142,179,155,7,13,122
3033,,179,142,282,155,7,13,102
3034,,282,142,418,155,7,13,135
3035,,418,142,486,155,7,13,67
3036,,57,129,179,142,7,13,122
3037,,179,129,229,142,7,13,50
3038,,229,129,282,142,7,13,52
3039,,282,129,355,142,7,13,73
3040,,355,129,418,142,7,13,62
3041,,418,129,486,142,7,13,67
3042,,57,115,179,129,7,13,122
3043,,179,115,229,129,7,13,50
3044,,229,115,282,129,7,13,52
3045,,282,115,355,129,7,13,73
3046,,355,115,418,129,7,13,62
3047,,418,115,486,129,7,13,67
3048,,57,102,179,115,7,13,122
3049,,179,102,282,115,7,13,102
3050,,282,102,418,115,7,13,135
3051,,418,102,486,115,7,13,67
3052,,57,89,179,102,7,13,122
3053,,179,89,282,102,7,13,102
3054,,282,89,418,102,7,13,135
3055,,418,89,486,102,7,13,67
3056,,57,76,179,89,7,13,122
3057,,179,76,282,89,7,13,102
3058,,282,76,418,89,7,13,135
3059,,418,76,486,89,7,13,67
3060,,57,54,179,76,7,21,122
3061,,179,54,282,76,7,21,102
3062,,282,54,418,76,7,21,135
3063,,418,54,486,76,7,21,67
3064,mg/dL,437,59,469,73,7,14,31
3065,Policies and Procedures - UCM System,54,778,244,794,8,15,190
3066,Page 7 of 8,503,778,558,794,8,15,54
3067,http://mayocontent.mayo.edu/dlmpaz/print/DOCMAN-0000116187,54,0,379,15,8,15,325
3068,6/13/2014,509,0,558,15,8,15,48
3069,,0,0,612,792,8,791,612
3070,Fluid),57,724,89,739,8,14,31
3071,Troponin T,57,711,115,726,8,14,57
3072,Triglycerides,57,698,126,713,8,14,68
3073,,57,679,63,693,8,14,5
3074,,57,660,63,674,8,14,5
3075,*Therapeutic range will vary depending on the organ transplanted and the length of time from initial,56,258,520,272,8,14,464
3076,transplantation and will be determined by the transplant provider or caregiver.,56,246,420,260,8,14,364
3077,Related Documents,56,216,208,238,8,22,151
3078,All Chemistry SOPs,57,191,153,205,8,14,95
3079,References,56,159,145,181,8,22,89
3080,None,56,135,87,149,8,14,30
3081,Document History,56,105,197,127,8,22,140
3082,Date Updated,57,80,128,95,8,14,70
3083,4/20/12,57,67,95,81,8,14,37
3084,Synopsis of Change,164,80,265,95,8,14,101
3085,Updated Folate reference (pw),164,67,307,81,8,14,143
3086,,56,282,486,738,8,455,430
3087,ValproicAcidVancomycinPeakVancomycinTroughUrineTests:UrineCalcium,57,283,165,625,8,341,107
3088,Uric Acid,57,610,106,625,8,14,48
3089,,57,597,63,611,8,14,5
3090,,57,584,63,598,8,14,5
3091,,57,571,63,584,8,13,5
3092,,57,557,63,571,8,13,5
3093,,57,544,63,558,8,13,5
3094,,57,531,63,545,8,13,5
3095,,57,518,63,532,8,13,5
3096,,57,505,63,519,8,14,5
3097,,57,492,63,506,8,14,5
3098,,57,479,63,493,8,13,5
3099,Valproic Acid,57,466,128,480,8,14,70
3100,Vancomycin Peak,57,452,150,467,8,14,92
3101,Vancomycin Trough,57,439,162,454,8,14,104
3102,Urine Tests:,57,426,121,441,8,14,63
3103,Urine Calcium,57,413,131,428,8,14,73
3104,Urine Chloride,57,400,133,415,8,14,75
3105,Urine Creatinine,57,387,142,402,8,14,84
3106,Creatinine Clearance,57,374,165,389,8,14,107
3107,Rate,57,362,83,377,8,14,25
3108,Urine Osmolality,57,349,144,364,8,14,86
3109,Urine Phosphorus,57,336,152,351,8,14,94
3110,Urine Potassium,57,323,143,337,8,14,85
3111,Urine Protein,57,310,129,324,8,14,71
3112,Urine Sodium,57,296,129,311,8,14,71
3113,Urine Uric Acid,57,283,136,298,8,14,78
3114,Age,195,610,216,624,8,14,21
3115,1 - 10,190,597,220,611,8,14,29
3116,11,198,584,213,598,8,14,14
3117,12,198,570,213,585,8,14,14
3118,Normal,238,610,272,624,8,14,34
3119,2.4 - 5.4,236,597,274,611,8,14,38
3120,2.7-5.9,239,584,271,598,8,14,32
3121,2.3-5.9,239,571,271,585,8,14,32
3122,,230,557,235,571,8,13,5
3123,,230,544,235,558,8,13,5
3124,,230,531,235,545,8,13,5
3125,13,198,518,213,532,8,14,14
3126,14,198,505,213,519,8,14,14
3127,15,198,492,215,506,8,14,17
3128,>15,195,479,216,493,8,14,20
3129,3.4-6.9,239,518,271,532,8,14,32
3130,3.7-7.4,239,505,271,519,8,14,32
3131,4.0-7.8,239,492,271,506,8,14,32
3132,3.7 – 8.0,235,479,276,493,8,14,41
3133,,180,557,185,571,8,13,5
3134,,180,544,185,558,8,13,5
3135,,180,531,185,545,8,13,5
3136,,180,426,185,440,8,13,5
3137,,282,426,288,440,8,13,5
3138,40 - 100,210,466,249,480,8,14,38
3139,25 - 50,213,452,246,467,8,14,32
3140,10 - 20,213,439,246,453,8,14,32
3141,25 - 300,210,413,249,427,8,14,38
3142,100-250,210,400,252,414,8,14,41
3143,0 - 40,216,387,246,401,8,14,29
3144,70 - 135,210,368,251,382,8,14,41
3145,100 - 800,207,349,252,363,8,14,44
3146,0 - 1100,210,336,249,350,8,14,38
3147,30-90,216,323,246,337,8,14,29
3148,0 - 150,213,310,246,324,8,14,32
3149,41-227,213,296,246,311,8,14,32
3150,<750,217,283,244,297,8,14,26
3151,<0.01,216,711,245,725,8,14,29
3152,Normal <150,199,698,260,712,8,14,60
3153,Borderline high 150,184,685,278,699,8,14,94
3154,High 200 – 499,194,660,265,674,8,14,71
3155,Very high,207,647,254,661,8,14,47
3156,<0.01,335,711,362,725,8,14,26
3157,Normal <150,318,698,379,712,8,14,60
3158,High 200 – 499,313,660,385,674,8,14,71
3159,Very high,327,647,374,661,8,14,47
3160,mg/dL,436,660,471,725,8,65,34
3161,ng/mL,437,711,469,725,8,14,31
3162,mg/dL,437,698,469,712,8,14,31
3163,mg/dL,437,679,469,693,8,14,31
3164,mg/dL,436,660,471,674,8,14,34
3165,,450,610,456,624,8,14,5
3166,mg/dL,437,597,469,611,8,14,31
3167,mg/dL,437,584,469,598,8,14,31
3168,,418,557,424,571,8,13,5
3169,,418,531,424,545,8,13,5
3170,,418,426,424,440,8,13,5
3171,mg/dL,437,505,469,519,8,14,31
3172,mg/dL,437,492,469,506,8,14,31
3173,mg/dL,437,479,469,493,8,14,31
3174,mcg/mL,433,466,473,480,8,14,40
3175,mcg/mL,433,452,473,467,8,14,40
3176,mcg/mL,433,439,473,453,8,14,40
3177,mg/spec,432,413,474,427,8,14,42
3178,mmol/24h,429,400,478,414,8,14,49
3179,mg/spec,432,387,474,401,8,14,42
3180,mL/min/SA,426,368,480,382,8,14,54
3181,mOsm/Kg,428,349,478,363,8,14,49
3182,mg/spec,432,336,474,350,8,14,42
3183,mmol/spec,426,323,480,337,8,14,53
3184,mg/24h,434,310,472,324,8,14,37
3185,mmol/24h,429,296,478,311,8,14,49
3186,mg/spec,432,283,474,297,8,14,42
3187,Age,308,610,327,624,8,14,18
3188,1 - 2,307,597,328,611,8,14,21
3189,3,315,584,321,598,8,14,5
3190,4,315,571,321,585,8,14,5
3191,5,315,557,321,571,8,14,5
3192,6,315,544,321,558,8,14,5
3193,8,315,531,321,545,8,14,5
3194,9-10,307,518,328,532,8,14,21
3195,11,312,505,324,519,8,14,11
3196,12,312,492,324,506,8,14,11
3197,>12,309,479,327,493,8,14,17
3198,Normal,369,610,403,624,8,14,34
3199,2.1-4.9,370,597,403,611,8,14,32
3200,2.2-5.1,370,584,403,598,8,14,32
3201,2.3-5.2,370,571,403,585,8,14,32
3202,2.3-5.3,370,557,403,571,8,14,32
3203,2.3-5.4,370,544,403,558,8,14,32
3204,2.3-5.5,370,531,403,545,8,14,32
3205,2.3-5.7,370,518,403,532,8,14,32
3206,2.3 - 5.8,367,505,406,519,8,14,38
3207,2.3-5.9,370,492,403,506,8,14,32
3208,2.7-6.1,370,479,403,493,8,14,32
3209,40 - 100,329,466,368,480,8,14,38
3210,25 - 50,332,452,365,467,8,14,32
3211,10 – 20,331,439,366,453,8,14,35
3212,20 - 275,329,413,368,427,8,14,38
3213,100-250,329,400,368,414,8,14,38
3214,0 - 80,335,387,362,401,8,14,26
3215,70 - 135,329,368,371,382,8,14,41
3216,100 - 800,327,349,371,363,8,14,44
3217,0 - 1100,329,336,368,350,8,14,38
3218,30-90,335,323,362,337,8,14,26
3219,0 - 150,332,310,365,324,8,14,32
3220,41-227,332,296,365,311,8,14,32
3221,<749,337,283,361,297,8,14,23
3222,,57,724,179,737,8,13,122
3223,,179,724,282,737,8,13,102
3224,,282,724,418,737,8,13,135
3225,,418,724,486,737,8,13,67
3226,,57,711,179,724,8,13,122
3227,,179,711,282,724,8,13,102
3228,,282,711,418,724,8,13,135
3229,,418,711,486,724,8,13,67
3230,,57,698,179,711,8,13,122
3231,,179,698,282,711,8,13,102
3232,,282,698,418,711,8,13,135
3233,,418,698,486,711,8,13,67
3234,,57,673,179,698,8,24,122
3235,,179,673,282,698,8,24,102
3236,,179,673,282,698,8,24,102
3237,– 199,216,673,245,687,8,14,29
3238,,282,673,418,698,8,24,135
3239,,282,673,418,698,8,24,135
3240,Borderline high 150 – 199,288,679,412,693,8,14,123
3241,,418,673,486,698,8,24,67
3242,,57,660,179,673,8,13,122
3243,,179,660,282,673,8,13,102
3244,,282,660,418,673,8,13,135
3245,,418,660,486,673,8,13,67
3246,,57,622,179,660,8,37,122
3247,,57,622,179,660,8,37,122
3248,,57,635,63,649,8,14,5
3249,,179,622,282,660,8,37,102
3250,,179,622,282,660,8,37,102
3251,> or =500,207,623,252,637,8,14,45
3252,,282,622,418,660,8,37,135
3253,,282,622,418,660,8,37,135
3254,> or =500,326,623,371,637,8,14,45
3255,,418,622,486,660,8,37,67
3256,,418,622,486,660,8,37,67
3257,mg/dL,437,635,469,649,8,14,31
3258,,57,609,179,622,8,13,122
3259,,179,609,229,622,8,13,50
3260,,229,609,282,622,8,13,52
3261,,282,609,355,622,8,13,73
3262,,355,609,418,622,8,13,62
3263,,418,609,486,622,8,13,67
3264,,57,596,179,609,8,13,122
3265,,179,596,229,609,8,13,50
3266,,229,596,282,609,8,13,52
3267,,282,596,355,609,8,13,73
3268,,355,596,418,609,8,13,62
3269,,418,596,486,609,8,13,67
3270,,57,583,179,596,8,13,122
3271,,179,583,229,596,8,13,50
3272,,229,583,282,596,8,13,52
3273,,282,583,355,596,8,13,73
3274,,355,583,418,596,8,13,62
3275,,418,583,486,596,8,13,67
3276,,57,570,179,583,8,13,122
3277,,179,570,229,583,8,13,50
3278,,229,570,282,583,8,13,52
3279,,282,570,355,583,8,13,73
3280,,355,570,418,583,8,13,62
3281,,418,570,486,583,8,13,67
3282,,57,557,179,570,8,13,122
3283,,179,557,229,570,8,13,50
3284,,229,557,282,570,8,13,52
3285,,282,557,355,570,8,13,73
3286,,355,557,418,570,8,13,62
3287,,418,557,486,570,8,13,67
3288,,57,544,179,557,8,13,122
3289,,179,544,229,557,8,13,50
3290,,229,544,282,557,8,13,52
3291,,282,544,355,557,8,13,73
3292,,355,544,418,557,8,13,62
3293,,418,544,486,557,8,13,67
3294,,57,531,179,544,8,13,122
3295,,179,531,229,544,8,13,50
3296,,229,531,282,544,8,13,52
3297,,282,531,355,544,8,13,73
3298,,355,531,418,544,8,13,62
3299,,418,531,486,544,8,13,67
3300,,57,517,179,531,8,13,122
3301,,179,517,229,531,8,13,50
3302,,229,517,282,531,8,13,52
3303,,282,517,355,531,8,13,73
3304,,355,517,418,531,8,13,62
3305,,418,517,486,531,8,13,67
3306,,57,504,179,517,8,13,122
3307,,179,504,229,517,8,13,50
3308,,229,504,282,517,8,13,52
3309,,282,504,355,517,8,13,73
3310,,355,504,418,517,8,13,62
3311,,418,504,486,517,8,13,67
3312,,57,491,179,504,8,13,122
3313,,179,491,229,504,8,13,50
3314,,229,491,282,504,8,13,52
3315,,282,491,355,504,8,13,73
3316,,355,491,418,504,8,13,62
3317,,418,491,486,504,8,13,67
3318,,57,478,179,491,8,13,122
3319,,179,478,229,491,8,13,50
3320,,229,478,282,491,8,13,52
3321,,282,478,355,491,8,13,73
3322,,355,478,418,491,8,13,62
3323,,418,478,486,491,8,13,67
3324,,57,465,179,478,8,13,122
3325,,179,465,282,478,8,13,102
3326,,282,465,418,478,8,13,135
3327,,418,465,486,478,8,13,67
3328,,57,452,179,465,8,13,122
3329,,179,452,282,465,8,13,102
3330,,282,452,418,465,8,13,135
3331,,418,452,486,465,8,13,67
3332,,57,439,179,452,8,13,122
3333,,179,439,282,452,8,13,102
3334,,282,439,418,452,8,13,135
3335,,418,439,486,452,8,13,67
3336,,57,426,179,439,8,13,122
3337,,179,426,282,439,8,13,102
3338,,282,426,418,439,8,13,135
3339,,418,426,486,439,8,13,67
3340,,57,413,179,426,8,13,122
3341,,179,413,282,426,8,13,102
3342,,282,413,418,426,8,13,135
3343,,418,413,486,426,8,13,67
3344,,57,399,179,413,8,13,122
3345,,179,399,282,413,8,13,102
3346,,282,399,418,413,8,13,135
3347,,418,399,486,413,8,13,67
3348,,57,386,179,399,8,13,122
3349,,179,386,282,399,8,13,102
3350,,282,386,418,399,8,13,135
3351,,418,386,486,399,8,13,67
3352,,57,361,179,386,8,24,122
3353,,179,361,282,386,8,24,102
3354,,282,361,418,386,8,24,135
3355,,418,361,486,386,8,24,67
3356,,57,348,179,361,8,13,122
3357,,179,348,282,361,8,13,102
3358,,282,348,418,361,8,13,135
3359,,418,348,486,361,8,13,67
3360,,57,335,179,348,8,13,122
3361,,179,335,282,348,8,13,102
3362,,282,335,418,348,8,13,135
3363,,418,335,486,348,8,13,67
3364,,57,322,179,335,8,13,122
3365,,179,322,282,335,8,13,102
3366,,282,322,418,335,8,13,135
3367,,418,322,486,335,8,13,67
3368,,57,309,179,322,8,13,122
3369,,179,309,282,322,8,13,102
3370,,282,309,418,322,8,13,135
3371,,418,309,486,322,8,13,67
3372,,57,296,179,309,8,13,122
3373,,179,296,282,309,8,13,102
3374,,282,296,418,309,8,13,135
3375,,418,296,486,309,8,13,67
3376,,57,283,179,296,8,13,122
3377,,179,283,282,296,8,13,102
3378,,282,283,418,296,8,13,135
3379,,418,283,486,296,8,13,67
3380,,56,189,480,204,8,14,423
3381,,56,189,480,204,8,14,423
3382,,57,190,479,203,8,13,422
3383,,56,54,481,93,8,39,425
3384,,163,79,481,92,8,13,317
3385,,57,66,163,79,8,13,106
3386,,163,66,481,79,8,13,317
3387,,57,54,163,66,8,11,106
3388,,163,54,481,66,8,11,317
3389,Policies and Procedures - UCM System,54,778,244,794,9,15,190
3390,Page 8 of 8,503,778,558,794,9,15,54
3391,http://mayocontent.mayo.edu/dlmpaz/print/DOCMAN-0000116187,54,0,379,15,9,15,325
3392,6/13/2014,509,0,558,15,9,15,48
3393,,0,0,612,792,9,791,612
3394,4/23/12,57,724,95,738,9,14,37
3395,7/23/13,57,711,95,725,9,14,37
3396,Removed TEG(pw),164,724,254,738,9,14,90
3397,"Updated Uric Acid,CART ,CKMB ,CREAS, LDL,PCHES, IGG,",164,711,455,725,9,14,291
3398,"THEO-NAU, URIC U, IgA--removed GENT, LPa, Procain, CYCLO",164,700,475,714,9,14,310
3399,added BHYD (pw),164,688,249,702,9,14,85
3400,"Update to range for serum Cl from100-108 to 98-107, serum K 3.8-",164,675,476,689,9,14,312
3401,5.0 to 3.6-5.2 (pw),164,663,249,677,9,14,85
3402,Content Information,56,636,168,652,9,15,112
3403,"Contact: Ward, Edith (Edie)",56,612,178,626,9,13,121
3404,Content ID: DOCMAN-0000116187,56,600,215,614,9,13,158
3405,Release Date: 05/27/2014,56,589,168,602,9,13,111
3406,Site(s): Arizona,56,577,126,591,9,13,69
3407,"Workflow Reviewer Name(s): Wilkins, Pamela E.; Ronz,",56,553,302,567,9,13,245
3408,"Barbara S., MT(ASCP)",56,541,158,555,9,13,101
3409,"Workflow Approver Name(s): Snozek, Christine L., Ph.D.;",56,529,309,543,9,13,252
3410,"Hernandez, James S., M.D.",56,518,174,532,9,13,118
3411,Next Review Date: 06/08/2015,56,506,190,520,9,13,134
3412,Comments: replaces CL6.03.0111,56,482,203,496,9,13,146
3413,COPYRIGHT © Mayo Foundation for Medical Education and Research. This information is intended for use by,56,458,535,472,9,13,478
3414,employees of Mayo Clinic and its subsidiaries only. It is confidential and no part of it may be transmitted in any form,56,446,556,460,9,13,499
3415,"by electronic, mechanical, photocopying, or any other means to anyone outside Mayo Clinic without the prior",56,435,523,449,9,13,466
3416,permission of Mayo Foundation for Medical Education and Research. Inappropriate use or dissemination of this,56,423,532,437,9,13,476
3417,information may result in disciplinary action.,56,411,253,425,9,13,196
3418,Master copies are retained on-line. Printed copies are considered current only on the date printed.,56,387,472,401,9,13,416
3419,,56,661,481,738,9,76,425
3420,5/9/14,57,675,89,689,9,14,31
3421,,57,724,163,737,9,13,106
3422,,163,724,481,737,9,13,317
3423,,57,687,163,724,9,36,106
3424,,163,687,481,724,9,36,317
3425,,57,662,163,687,9,24,106
3426,,163,662,481,687,9,24,317
3427,Policies and Procedures - UCM System,54,778,244,794,10,15,190
3428,Page 1 of 4,503,778,558,794,10,15,54
3429,http://mayocontent.mayo.edu/dlmpaz/print/DOCMAN-0000116216,54,0,379,15,10,15,325
3430,6/13/2014,509,0,558,15,10,15,48
3431,,0,0,612,792,10,791,612
3432,Laboratory Medicine and Pathology: Arizona,56,711,251,725,10,13,194
3433,Mayo Clinic in Arizona Published Normal Ranges,56,675,555,704,10,29,498
3434,for Hematology and Coagulation Analytes,56,651,481,681,10,29,425
3435,Content Applies To,56,621,205,643,10,22,149
3436,"Mayo Clinic in Arizona: Hematology Laboratory, Division of Hematopathology",56,597,422,611,10,14,365
3437,Purpose,56,567,123,589,10,22,67
3438,The purpose of this information is to identify the laboratory hematology tests and their respective normal,56,543,544,557,10,14,487
3439,ranges.,56,531,97,545,10,14,40
3440,Guideline,56,501,132,523,10,22,76
3441,This list pertains to testing that is performed at Mayo Clinic in Arizona.,56,477,385,491,10,14,328
3442,"Mayo Clinic Scottsdale, 13400 E. Shea Boulevard, Scottsdale,AZ 85259",57,452,394,466,10,14,336
3443,"Mayo Clinic Hospital, 5777 East Mayo Boulevard, Phoenix, AZ 85054",57,439,381,453,10,14,323
3444,,57,426,63,439,10,13,5
3445,Sedimentation Rate,57,99,159,114,10,14,101
3446,,57,86,63,100,10,13,5
3447,MALE,180,99,212,114,10,14,32
3448,0 - 22,180,86,209,100,10,14,29
3449,FEMALE,297,99,340,114,10,14,43
3450,0 - 29,297,86,324,100,10,14,26
3451,Units of Measure,362,99,449,114,10,14,87
3452,Mm/hr,362,86,392,100,10,14,29
3453,Body Fluid,57,59,115,74,10,14,57
3454,,56,124,484,465,10,340,427
3455,,56,124,484,465,10,340,427
3456,HEMATOLOGY RESULTS,204,413,332,427,10,14,127
3457,ReticulocyteCount,57,126,167,408,10,282,109
3458,ANALYTE,57,393,110,408,10,14,52
3459,CBC Parameters,57,374,143,389,10,14,85
3460,WBC (white cell count),57,360,167,374,10,14,109
3461,RBC (red cell count),57,344,155,359,10,14,97
3462,HGB (hemoglobin),57,330,148,344,10,14,90
3463,HCT (hematocrit),57,317,141,331,10,14,83
3464,PLT (platelet count),57,303,152,317,10,14,94
3465,MCV,57,288,87,302,10,14,29
3466,MCH,57,275,84,289,10,14,26
3467,MCHC,57,262,92,276,10,14,34
3468,RDW,57,249,85,263,10,14,27
3469,MPV,57,236,83,250,10,14,25
3470,Differential Count,57,221,149,236,10,14,91
3471,Neutrophils,57,207,114,221,10,14,56
3472,Lymphocytes,57,194,122,208,10,14,64
3473,Monocytes,57,181,111,195,10,14,53
3474,Eosinophils,57,168,114,182,10,14,56
3475,Basophils,57,155,106,169,10,14,48
3476,,57,140,63,154,10,13,5
3477,Reticulocyte Count,57,126,149,140,10,14,91
3478,NORMAL RANGE,180,393,270,408,10,14,90
